Problem,Mode,|B|,|A|,|M||E'|,Transitions,Synthesis,Solutions,A_u,|B_sat|,Time
Naive Protocol,Naive,2,8,14,21,1,0,-,-,0.179
Naive Protocol,Smart,2,8,14,21,1,0,-,-,0.202
Naive Protocol,Fast,2,8,14,21,1,0,-,-,0.176
Naive Protocol,Oasis,2,8,14,21,2,1,"(8,12)",2,0.261
Naive Protocol,Simple,2,8,14,21,1,0,"(8,12)",-,0.184
Therapy,Naive,4,5,38,72,32,2,"(5,9)",4,1.032
Therapy,Smart,4,5,38,72,32,2,"(5,9)",4,0.929
Therapy,Fast,4,5,38,72,6,1,"(5,9)",4,0.369
Therapy,Oasis,4,5,38,72,1,1,"(9,9)",4,0.245
Therapy,Simple,4,5,38,72,1,1,"(9,9)",4,0.253
Voting-1-1,Naive,3,13,12,27,2576,16,"(1,7)",3,27.621
Voting-1-1,Smart,3,13,12,27,195,16,"(1,7)",3,3.270
Voting-1-1,Fast,3,13,12,27,9,1,"(1,7)",3,0.457
Voting-1-1,Oasis,3,13,12,27,6,1,"(5,5)",0,0.341
Voting-1-1,Simple,3,13,12,27,1,0,"(5,5)",-,0.214
Voting-2-2,Naive,3,23,31,68,-,0,-,-,T/O
Voting-2-2,Smart,3,23,31,68,648,4,"(1,11)",3,15.855
Voting-2-2,Fast,3,23,31,68,16,1,"(1,11)",3,1.414
Voting-2-2,Oasis,3,23,31,68,128,0,"(7,7)",-,3.938
Voting-2-2,Simple,3,23,31,68,1,0,"(7,7)",-,0.340
Voting-3-3,Naive,3,32,44,102,-,0,-,-,T/O
Voting-3-3,Smart,3,32,44,102,-,0,-,-,T/O
Voting-3-3,Fast,3,32,44,102,21,1,"(1,14)",3,9.739
Voting-3-3,Oasis,3,32,44,102,256,0,"(8,8)",-,42.178
Voting-3-3,Simple,3,32,44,102,1,0,"(8,8)",-,0.751
Voting-4-4,Naive,3,41,57,136,-,0,-,-,T/O
Voting-4-4,Smart,3,41,57,136,-,0,-,-,T/O
Voting-4-4,Fast,3,41,57,136,-,0,-,-,T/O
Voting-4-4,Oasis,3,41,57,136,-,0,"(9,9)",-,T/O
Voting-4-4,Simple,3,41,57,136,1,0,"(9,9)",-,2.043
Pump-1,Naive,2,12,104,484,2304,1,"(7,14)",2,47.786
Pump-1,Smart,2,12,104,484,99,1,"(7,14)",2,3.798
Pump-1,Fast,2,12,104,484,13,1,"(7,14)",2,0.937
Pump-1,Oasis,2,12,104,484,13,1,"(13,13)",0,0.765
Pump-1,Simple,2,12,104,484,1,0,"(13,13)",-,0.269
Pump-2,Naive,4,16,760,4794,-,0,-,-,T/O
Pump-2,Smart,4,16,760,4794,1059,1,"(14,25)",4,8m37.525
Pump-2,Fast,4,16,760,4794,17,1,"(14,25)",4,8.706
Pump-2,Oasis,4,16,760,4794,24,1,"(24,24)",0,5.083
Pump-2,Simple,4,16,760,4794,1,0,"(24,24)",-,0.689
Pump-3,Naive,6,20,6248,49854,-,0,-,-,T/O
Pump-3,Smart,6,20,6248,49854,-,0,-,-,T/O
Pump-3,Fast,6,20,6248,49854,21,1,"(21,36)",6,5m46.211
Pump-3,Oasis,6,20,6248,49854,35,1,"(35,35)",0,3m42.528
Pump-3,Simple,6,20,6248,49854,1,0,"(35,35)",-,4.329
Oyster-1,Naive,2,4,144,426,16,1,"(6,11)",2,0.732
Oyster-1,Smart,2,4,144,426,1,1,"(6,11)",2,0.317
Oyster-1,Fast,2,4,144,426,1,1,"(6,11)",2,0.320
Oyster-1,Oasis,2,4,144,426,1,1,"(10,11)",2,0.305
Oyster-1,Simple,2,4,144,426,1,1,"(10,11)",2,0.310
Oyster-2,Naive,2,4,291,1130,16,1,"(8,13)",2,0.812
Oyster-2,Smart,2,4,291,1130,1,1,"(8,13)",2,0.382
Oyster-2,Fast,2,4,291,1130,1,1,"(8,13)",2,0.384
Oyster-2,Oasis,2,4,291,1130,1,1,"(12,13)",2,0.355
Oyster-2,Simple,2,4,291,1130,1,1,"(12,13)",2,0.391
Oyster-3,Naive,2,4,488,2360,16,1,"(10,15)",2,1.028
Oyster-3,Smart,2,4,488,2360,1,1,"(10,15)",2,0.494
Oyster-3,Fast,2,4,488,2360,1,1,"(10,15)",2,0.492
Oyster-3,Oasis,2,4,488,2360,1,1,"(14,15)",2,0.472
Oyster-3,Simple,2,4,488,2360,1,1,"(14,15)",2,0.417
Oyster-4,Naive,2,4,735,4266,16,1,"(12,17)",2,1.323
Oyster-4,Smart,2,4,735,4266,1,1,"(12,17)",2,0.593
Oyster-4,Fast,2,4,735,4266,1,1,"(12,17)",2,0.568
Oyster-4,Oasis,2,4,735,4266,1,1,"(16,17)",2,0.607
Oyster-4,Simple,2,4,735,4266,1,1,"(16,17)",2,0.549
Oyster-5,Naive,2,4,1032,6998,16,1,"(14,19)",2,1.483
Oyster-5,Smart,2,4,1032,6998,1,1,"(14,19)",2,0.699
Oyster-5,Fast,2,4,1032,6998,1,1,"(14,19)",2,0.691
Oyster-5,Oasis,2,4,1032,6998,1,1,"(18,19)",2,0.668
Oyster-5,Simple,2,4,1032,6998,1,1,"(18,19)",2,0.592
