filename,oldInvariant,expected,sizeOfTrace,numOfPositives,numOfNegatives,solvingTime,formula
weakening/w_conseq_3_20_5_5.trace,"[](a -> b)","[](a -> b || c)",20,5,5,5.413,"[](a -> (b || c))"
weakening/w_antec_3_5_60_60.trace,"[](a -> b)","[](a && c -> b)",5,60,60,1.528,"[]((a && c) -> b)"
weakening/w_conseq_11_45_5_5.trace,"[](a -> b)","[](a -> b || c)",45,5,5,TO,-
weakening/w_antec_3_10_5_5.trace,"[](a -> b)","[](a && c -> b)",10,5,5,0.742,"[]((a && c) -> b)"
weakening/w_antec_7_5_70_70.trace,"[](a -> b)","[](a && c -> b)",5,70,70,3.69,"[]((a && c) -> b)"
weakening/w_antec_3_55_5_5.trace,"[](a -> b)","[](a && c -> b)",55,5,5,"ERR:Unknown exception occurred: java.lang.OutOfMemoryError: GC overhead limit exceeded",-
weakening/w_antec_11_5_60_60.trace,"[](a -> b)","[](a && c -> b)",5,60,60,5.638,"[]((a && c) -> b)"
weakening/w_antec_7_10_5_5.trace,"[](a -> b)","[](a && c -> b)",10,5,5,1.322,"[]((a && c) -> b)"
weakening/w_conseq_3_5_70_70.trace,"[](a -> b)","[](a -> b || c)",5,70,70,1.93,"[](a -> (b || c))"
weakening/w_antec_11_50_5_5.trace,"[](a -> b)","[](a && c -> b)",50,5,5,TO,-
weakening/w_conseq_3_100_5_5.trace,"[](a -> b)","[](a -> b || c)",100,5,5,TO,-
weakening/w_antec_3_40_5_5.trace,"[](a -> b)","[](a && c -> b)",40,5,5,53.531,"[]((a && c) -> b)"
weakening/w_antec_11_5_55_55.trace,"[](a -> b)","[](a && c -> b)",5,55,55,5.055,"[]((a && c) -> b)"
weakening/w_antec_7_5_90_90.trace,"[](a -> b)","[](a && c -> b)",5,90,90,4.622,"[]((a && c) -> b)"
weakening/w_antec_3_5_5_5.trace,"[](a -> b)","[](a && c -> b)",5,5,5,0.292,"[]((a && c) -> b)"
weakening/w_antec_3_75_5_5.trace,"[](a -> b)","[](a && c -> b)",75,5,5,TO,-
weakening/w_conseq_3_5_30_30.trace,"[](a -> b)","[](a -> b || c)",5,30,30,0.87,"[](a -> (b || c))"
weakening/w_conseq_7_5_5_5.trace,"[](a -> b)","[](a -> b || c)",5,5,5,0.533,"[](a -> (b || c))"
weakening/w_conseq_3_60_5_5.trace,"[](a -> b)","[](a -> b || c)",60,5,5,"ERR:Unknown exception occurred: java.lang.OutOfMemoryError: GC overhead limit exceeded",-
weakening/w_antec_7_55_5_5.trace,"[](a -> b)","[](a && c -> b)",55,5,5,"ERR:Unknown exception occurred: java.lang.OutOfMemoryError: GC overhead limit exceeded",-
weakening/w_antec_11_90_5_5.trace,"[](a -> b)","[](a && c -> b)",90,5,5,TO,-
weakening/w_antec_7_90_5_5.trace,"[](a -> b)","[](a && c -> b)",90,5,5,TO,-
weakening/w_conseq_7_5_20_20.trace,"[](a -> b)","[](a -> b || c)",5,20,20,1.207,"[](a -> (b || c))"
weakening/w_antec_3_5_80_80.trace,"[](a -> b)","[](a && c -> b)",5,80,80,2.001,"[]((a && c) -> b)"
weakening/w_conseq_11_5_10_10.trace,"[](a -> b)","[](a -> b || c)",5,10,10,1.273,"[](a -> (b || c))"
weakening/w_antec_7_65_5_5.trace,"[](a -> b)","[](a && c -> b)",65,5,5,"ERR:Unknown exception occurred: java.lang.OutOfMemoryError: GC overhead limit exceeded",-
weakening/w_antec_11_5_65_65.trace,"[](a -> b)","[](a && c -> b)",5,65,65,5.604,"[]((a && c) -> b)"
weakening/w_conseq_7_5_25_25.trace,"[](a -> b)","[](a -> b || c)",5,25,25,1.364,"[](a -> (b || c))"
weakening/w_conseq_11_5_65_65.trace,"[](a -> b)","[](a -> b || c)",5,65,65,5.541,"[](a -> (b || c))"
weakening/w_antec_11_80_5_5.trace,"[](a -> b)","[](a && c -> b)",80,5,5,TO,-
weakening/w_conseq_11_5_60_60.trace,"[](a -> b)","[](a -> b || c)",5,60,60,5.417,"[](a -> (b || c))"
weakening/w_conseq_7_5_50_50.trace,"[](a -> b)","[](a -> b || c)",5,50,50,2.683,"[](a -> (b || c))"
weakening/w_antec_11_20_5_5.trace,"[](a -> b)","[](a && c -> b)",20,5,5,12.019,"[]((a && c) -> b)"
weakening/w_antec_3_5_90_90.trace,"[](a -> b)","[](a && c -> b)",5,90,90,2.289,"[]((a && c) -> b)"
weakening/w_antec_11_5_85_85.trace,"[](a -> b)","[](a && c -> b)",5,85,85,7.198,"[]((a && c) -> b)"
weakening/w_antec_3_90_5_5.trace,"[](a -> b)","[](a && c -> b)",90,5,5,TO,-
weakening/w_antec_11_5_80_80.trace,"[](a -> b)","[](a && c -> b)",5,80,80,6.987,"[]((a && c) -> b)"
weakening/w_conseq_7_20_5_5.trace,"[](a -> b)","[](a -> b || c)",20,5,5,7.299,"[](a -> (b || c))"
weakening/w_antec_11_30_5_5.trace,"[](a -> b)","[](a && c -> b)",30,5,5,44.08,"[]((a && c) -> b)"
weakening/w_antec_7_5_20_20.trace,"[](a -> b)","[](a && c -> b)",5,20,20,1.147,"[]((a && c) -> b)"
weakening/w_conseq_7_5_45_45.trace,"[](a -> b)","[](a -> b || c)",5,45,45,2.167,"[](a -> (b || c))"
weakening/w_antec_3_5_35_35.trace,"[](a -> b)","[](a && c -> b)",5,35,35,0.951,"[]((a && c) -> b)"
weakening/w_antec_11_5_5_5.trace,"[](a -> b)","[](a && c -> b)",5,5,5,0.834,"[](a -> (b || e))"
weakening/w_antec_11_5_90_90.trace,"[](a -> b)","[](a && c -> b)",5,90,90,7.787,"[]((a && c) -> b)"
weakening/w_conseq_7_35_5_5.trace,"[](a -> b)","[](a -> b || c)",35,5,5,55.755,"[](a -> (b || c))"
weakening/w_antec_7_5_5_5.trace,"[](a -> b)","[](a && c -> b)",5,5,5,0.483,"[]((a && c) -> b)"
